date,team,xESGF,xESGA,saveP,xPPGF,xPKGA,PKSVP,xESGFRecent,xESGARecent,savePRecent,xPPGFRecent,xPKGARecent,PKSVPRecent
2013-11-01,Los Angeles Kings,2.21,1.95,91.88,0.7857142857142857,0.7321428571428571,87.06,2.39,1.88,92.59,0.6,0.8,86.21
2013-11-01,Washington Capitals,1.98,2.49,90.92,0.9166666666666666,0.6558333333333334,94.37,2,2.44,91.26,0.6,0.2,96.55
2013-11-01,Pittsburgh Penguins,2.55,1.63,91.97,0.6923076923076923,0.5869230769230769,85.19,2.59,1.64,90.85,0.7,0.8,81.82
2013-11-01,Carolina Hurricanes,2.19,2.56,93.21,0.6666666666666666,0.505,81.63,2.13,2.64,92.89,0.7,0.9,80.43
2013-11-01,Toronto Maple Leafs,1.72,2.46,93.83,0.8571428571428571,0.8157142857142857,93.00,1.59,2.48,94.45,0.8,0.6,92.31
2013-11-01,Phoenix Coyotes,2,2.37,91.82,0.7857142857142857,0.8214285714285714,88.89,2,2.4,91.34,1.0,0.5,91.80
2013-11-01,Calgary Flames,2.28,2.46,90.52,0.6666666666666666,0.6033333333333334,81.63,2.14,2.43,89.95,0.7,0.6,85.71
2013-11-01,Anaheim Ducks,2.33,2.08,93.13,0.2857142857142857,0.7371428571428572,81.82,2.39,2.03,92.55,0.3,0.7,85.71
2013-11-01,New Jersey Devils,1.97,1.53,90.14,0.75,0.5083333333333333,84.21,1.92,1.52,90.99,0.9,0.6,82.86
2013-11-01,Dallas Stars,2.23,2.32,92.23,0.5,0.8283333333333333,89.87,2.16,2.29,91.94,0.6,0.7,89.39
2013-11-01,Columbus Blue Jackets,2.12,1.92,93.04,0.7272727272727273,0.6681818181818181,87.10,2.05,1.87,94.15,0.7,0.8,85.96
2013-11-01,New York Rangers,2.37,2.24,91.13,0.6666666666666666,0.5941666666666666,87.30,2.42,2.33,90.53,0.7,0.7,87.04
2013-11-01,Minnesota Wild,2.04,1.36,95.01,1.0,0.573076923076923,81.69,1.98,1.43,95.59,0.8,0.9,83.33
2013-11-01,Edmonton Oilers,2.04,2.3,89.71,0.42857142857142855,0.5892857142857143,85.37,2.16,2.21,90.42,0.2,0.8,85.19
2013-11-01,Ottawa Senators,2.1,2.51,92.48,0.5833333333333334,0.9766666666666667,89.41,2.01,2.53,91.67,0.7,0.7,90.28
2013-11-01,Philadelphia Flyers,2.1,2.19,92.61,0.45454545454545453,0.5927272727272727,87.27,2.11,2.24,92.80,0.4,0.6,88.24
2013-11-01,Florida Panthers,1.84,2.16,90.49,0.3333333333333333,0.5558333333333333,85.71,1.67,2.15,91.02,0.4,0.7,85.42
2013-11-01,Montreal Canadiens,2.42,2.28,95.59,0.9230769230769231,0.7707692307692308,88.41,2.23,2.4,96.29,0.9,0.5,88.89
2013-11-01,Buffalo Sabres,1.69,2.6,93.11,0.3333333333333333,0.8326666666666667,91.26,1.78,2.58,93.11,0.3,0.8,88.89
2013-11-01,Detroit Red Wings,1.9,1.95,93.32,0.6153846153846154,0.6123076923076923,86.15,1.85,1.93,93.25,0.8,0.6,87.76
2013-11-01,Vancouver Canucks,1.91,2.04,91.80,0.26666666666666666,0.5926666666666667,89.86,1.85,1.96,93.36,0.2,0.7,84.44
2013-11-01,Nashville Predators,2.07,1.85,92.12,0.5384615384615384,0.6015384615384616,84.21,2.16,1.79,91.07,0.5,0.5,88.10
2013-11-01,Boston Bruins,1.8,1.64,95.37,0.5,0.4366666666666667,84.00,1.72,1.62,95.35,0.4,0.8,80.95
2013-11-01,Tampa Bay Lightning,1.64,1.81,90.56,1.0,0.6841666666666667,89.33,1.64,1.59,89.02,1.1,0.7,89.39
2013-11-01,Chicago Blackhawks,2.41,1.71,91.33,0.8461538461538461,0.5815384615384616,77.55,2.45,1.8,90.82,0.7,0.6,81.25
2013-11-01,New York Islanders,2.23,2.73,90.48,0.8333333333333334,0.5741666666666666,86.79,2.28,2.83,90.16,0.9,0.6,88.24
2013-11-01,Winnipeg Jets,2.48,2.56,92.56,0.42857142857142855,0.795,86.11,2.59,2.47,92.29,0.2,0.6,86.05
2013-11-01,San Jose Sharks,2.86,1.5,93.49,1.0,0.45692307692307693,87.50,2.47,1.43,92.76,0.9,0.4,90.00
2013-11-01,St Louis Blues,2.1,2.06,93.55,1.1,0.658,82.69,2.1,2.06,93.55,1.1,0.9,82.69
2013-11-01,Colorado Avalanche,2.08,2.36,94.96,0.7272727272727273,0.7663636363636364,95.59,2.1,2.39,94.78,0.6,0.3,95.45
